Condition,resp_porp,stim_val,pr2
Delay,0.25,0.00120994316382088,-0.0294462333672313
Delay,0.5,0.00709232534952045,-0.0294462333672313
Delay,0.75,0.0222144793181866,-0.0294462333672313
Delay,0.95,0.118392913547187,-0.0294462333672313
Low Gravity,0.25,-6.13089771647326,-1.00087726634357
Low Gravity,0.5,-5.70348120624388,-1.00087726634357
Low Gravity,0.75,-5.67594060312194,-1.00087726634357
Low Gravity,0.95,-5.6484,-1.00087726634357
Ripple,0.25,0.0120521475059517,-0.290559080377694
Ripple,0.5,0.0261483572418044,-0.290559080377694
Ripple,0.75,0.0310304286209022,-0.290559080377694
Ripple,0.95,0.0359125,-0.290559080377694
