Condition,resp_porp,stim_val,pr2
Delay,0.25,0.180206470093012,-2.22705370244757
Delay,0.5,0.270716437426038,-2.22705370244757
Delay,0.75,0.400173470766907,-2.22705370244757
Delay,0.95,0.763456921280218,-2.22705370244757
Low Gravity,0.25,-6.01805721078601,0.994842306902727
Low Gravity,0.5,-5.86140871443367,0.994842306902727
Low Gravity,0.75,-5.698357838854,0.994842306902727
Low Gravity,0.95,-5.40925204012224,0.994842306902727
Ripple,0.25,0.0142039607467209,0.670422848136042
Ripple,0.5,0.0187864935601544,0.670422848136042
Ripple,0.75,0.0248109958388726,0.670422848136042
Ripple,0.95,0.0394986492825881,0.670422848136042
